id	main_menu_icon	main_menu	sub_menu_icon	sub_menu	sub_menu_route	second_sub_menu_icon	second_sub_menu	route	controller	main_menu_order	sub_menu_order	child_menu_order	is_active	created_at	updated_at
1	pi pi-fw pi-briefcase	Master	pi pi-fw pi-user	Category	\N			/category	categories	1	1	1	1	2026-02-08 13:40:12	2026-02-08 13:40:12
2	pi pi-fw pi-briefcase	Master	pi pi-fw pi-user	Brand	\N			/brand	brands	1	1	2	1	2026-02-08 13:40:12	2026-02-08 13:40:12
3	pi pi-fw pi-briefcase	Master	pi pi-fw pi-user	Units	\N			/units	units	1	1	3	1	2026-02-08 13:40:12	2026-02-08 13:40:12
4	pi pi-fw pi-briefcase	Product	pi pi-fw pi-user	Product List	\N			/product-list	products	1	1	4	1	2026-02-08 13:40:12	2026-02-08 13:40:12
5	pi pi-fw pi-briefcase	Product	pi pi-fw pi-user	Product	\N			/products	products	1	1	5	1	2026-02-08 13:40:12	2026-02-08 13:40:12
6	pi pi-fw pi-briefcase	Product	pi pi-fw pi-user	Add Product	\N			/product-print-barcode	barcodes	1	1	6	1	2026-02-08 13:40:12	2026-02-08 13:40:12
7	pi pi-fw pi-briefcase	Product	pi pi-fw pi-user	Adjustment List	\N			/product/adjustment-list	adjustments	1	1	7	1	2026-02-08 13:40:12	2026-02-08 13:40:12
8	pi pi-fw pi-briefcase	Product	pi pi-fw pi-user	Add Adjustment	\N			/product/add-adjustment	adjustments	1	1	8	1	2026-02-08 13:40:12	2026-02-08 13:40:12
9	pi pi-fw pi-briefcase	Product	pi pi-fw pi-user	Product	\N			/product/stock-count	stock-counts	1	1	9	1	2026-02-08 13:40:12	2026-02-08 13:40:12
10	pi pi-fw pi-briefcase	Purchase	pi pi-fw pi-shopping-cart	Purchase List	\N			/purchase/list	purchases	1	2	1	1	2026-02-08 13:40:12	2026-02-08 13:40:12
11	pi pi-fw pi-briefcase	Purchase	pi pi-fw pi-shopping-cart	Add Purchase	\N			/purchase-create	purchases	1	2	2	1	2026-02-08 13:40:12	2026-02-08 13:40:12
12	pi pi-fw pi-briefcase	Purchase	pi pi-fw pi-shopping-cart	Import Purchase By CSV	\N			/purchase/import-csv	purchases	1	2	3	1	2026-02-08 13:40:12	2026-02-08 13:40:12
13	pi pi-fw pi-briefcase	Purchase	pi pi-fw pi-shopping-cart	Purchase Return List	\N			/return-purchase-create	purchase-returns	1	2	4	1	2026-02-08 13:40:12	2026-02-08 13:40:12
14	pi pi-fw pi-briefcase	Sale	pi pi-fw pi-shopping-bag	Sale List	\N			/sales-list	sales	1	3	1	1	2026-02-08 13:40:12	2026-02-08 13:40:12
15	pi pi-fw pi-briefcase	Sale	pi pi-fw pi-shopping-bag	Sale	\N			/pos	pos	1	3	2	1	2026-02-08 13:40:12	2026-02-08 13:40:12
16	pi pi-fw pi-briefcase	Sale	pi pi-fw pi-shopping-bag	POS	\N			/pos	pos	1	3	3	1	2026-02-08 13:40:12	2026-06-07 11:17:09
17	pi pi-fw pi-briefcase	Sale	pi pi-fw pi-shopping-bag	Sale	\N			/sale/import-csv	sales	1	3	4	1	2026-02-08 13:40:12	2026-02-08 13:40:12
18	pi pi-fw pi-briefcase	Sale	pi pi-fw pi-shopping-bag	Import Sale By CSV	\N			/packing-slip-list	packing-slips	1	3	5	1	2026-02-08 13:40:12	2026-02-08 13:40:12
19	pi pi-fw pi-briefcase	Sale	pi pi-fw pi-shopping-bag	Challan List	\N			/challan-list	challans	1	3	6	1	2026-02-08 13:40:12	2026-02-08 13:40:12
20	pi pi-fw pi-briefcase	Sale	pi pi-fw pi-shopping-bag	Delivery List	\N			/delivery-list	deliveries	1	3	7	1	2026-02-08 13:40:12	2026-02-08 13:40:12
21	pi pi-fw pi-briefcase	Sale	pi pi-fw pi-shopping-bag	Gift Card List	\N			/gift-card-list	gift-cards	1	3	8	1	2026-02-08 13:40:12	2026-02-08 13:40:12
22	pi pi-fw pi-briefcase	Sale	pi pi-fw pi-shopping-bag	Coupon List	\N			/coupon-list	coupons	1	3	9	1	2026-02-08 13:40:12	2026-02-08 13:40:12
23	pi pi-fw pi-briefcase	Sale	pi pi-fw pi-shopping-bag	Courier List	\N			/courier-list	couriers	1	3	10	1	2026-02-08 13:40:12	2026-02-08 13:40:12
24	pi pi-fw pi-briefcase	Sale	pi pi-fw pi-shopping-bag	Sale Return	\N			/sale-return-list	returns	1	3	11	1	2026-02-08 13:40:12	2026-02-08 13:40:12
25	pi pi-fw pi-briefcase	Quotation	pi pi-fw pi-file-edit	Quotation List	\N			/quotation-list	quotations	1	4	1	1	2026-02-08 13:40:12	2026-02-08 13:40:12
26	pi pi-fw pi-briefcase	Quotation	pi pi-fw pi-file-edit	Add Quotation	\N			/quotation/add	quotations	1	4	2	1	2026-02-08 13:40:12	2026-02-08 13:40:12
27	pi pi-fw pi-briefcase	Transfer	pi pi-fw pi-arrow-right-arrow-left	Transfer List	\N			/transfer-list	transfers	1	5	1	1	2026-02-08 13:40:12	2026-02-08 13:40:12
28	pi pi-fw pi-briefcase	Transfer	pi pi-fw pi-arrow-right-arrow-left	Add Transfer	\N			/transfer/add	transfers	1	5	2	1	2026-02-08 13:40:12	2026-02-08 13:40:12
