id	name	guard_name	created_at	updated_at
137	account-selection	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
69	account-statement.*	sanctum	2019-01-03 03:36:14	2019-01-03 03:36:14
592	account-statements-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
594	account-statements-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
593	account-statements-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
595	account-statements-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
260	account-statements.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
261	account-statements.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
262	account-statements.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
263	account-statements.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
264	account-statements.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
67	account.index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
225	account.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
588	accounts-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
590	accounts-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
589	accounts-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
591	accounts-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
265	accounts.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
266	accounts.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
267	accounts.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
268	accounts.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
269	accounts.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
596	activity-logs-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
598	activity-logs-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
597	activity-logs-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
599	activity-logs-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
270	activity-logs.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
271	activity-logs.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
272	activity-logs.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
273	activity-logs.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
274	activity-logs.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
864	addons-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
866	addons-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
865	addons-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
867	addons-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
136	addons.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
275	addons.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
276	addons.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
277	addons.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
278	addons.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
79	adjustment.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
600	adjustments-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
602	adjustments-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
601	adjustments-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
603	adjustments-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
279	adjustments.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
280	adjustments.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
281	adjustments.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
282	adjustments.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
283	adjustments.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
121	all_notification	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
900	attendance	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
604	attendance-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
606	attendance-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
605	attendance-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
607	attendance-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
71	attendance.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
284	attendance.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
285	attendance.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
286	attendance.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
287	attendance.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
104	backup_database	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
608	backup-database-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
610	backup-database-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
609	backup-database-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
611	backup-database-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
288	backup-database.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
289	backup-database.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
290	backup-database.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
291	backup-database.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
292	backup-database.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
68	balance-sheet.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
612	balance-sheets-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
614	balance-sheets-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
613	balance-sheets-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
615	balance-sheets-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
293	balance-sheets.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
294	balance-sheets.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
295	balance-sheets.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
296	balance-sheets.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
297	balance-sheets.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
134	barcode_setting	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
620	barcode-settings-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
622	barcode-settings-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
621	barcode-settings-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
623	barcode-settings-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
298	barcode-settings.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
299	barcode-settings.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
300	barcode-settings.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
301	barcode-settings.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
302	barcode-settings.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
616	barcodes-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
618	barcodes-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
617	barcodes-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
619	barcodes-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
303	barcodes.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
304	barcodes.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
305	barcodes.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
306	barcodes.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
307	barcodes.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
239	best-seller	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
257	biller-report	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
624	billers-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
626	billers-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
625	billers-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
627	billers-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
308	billers.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
94	billers.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
96	billers.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
95	billers.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
149	billers.import	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
93	billers.index	sanctum	2020-02-26 12:41:15	2020-02-26 12:41:15
224	billers.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
901	booking	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
868	booking-add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
870	booking-delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
869	booking-edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
871	booking-index	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
228	booking.*	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
309	booking.add	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
310	booking.delete	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
311	booking.edit	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
312	booking.view	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
902	brand	sanctum	2026-07-05 11:45:10	2026-07-05 11:45:10
